sample,question,ground_truth,raw_prediction,prediction,correct,question_type
340,"In the northeastern portion of the images, along the curve of the roadway, what is the nature of the change involving the sidewalk?  **A)** It was newly constructed where there was previously an open field. **B)** It was demolished to make room for additional landscaping. **C)** It was narrowed to allow for a wider road surface. **D)** It was repaved with a darker asphalt material.",A,A,a,True,Multiple Choice
341,"In the eastern portion of the site, situated south of the prominent green tree line, what change can be observed between the two images?  **A)** A new building has been constructed. **B)** A pre-existing building was demolished. **C)** The area was cleared of vegetation to create a dirt road. **D)** An outdoor swimming pool was added to the property.",A,C,c,False,Multiple Choice
342,Has a new swimming pool been constructed in the backyard of the residential property located in the southeastern corner of the neighborhood?,Yes,Yes,yes,True,Yes/No
343,"In the upper left corner of the image, near the end of the row of mobile homes, what change has occurred to the shipping container?  **A)** It has been moved to the adjacent lot. **B)** It has been removed. **C)** It has been replaced by a permanent building. **D)** It has been rotated 90 degrees.",B),B,b,True,Multiple Choice
344,"Has a new building with a light-colored roof been constructed in the bottom-left corner of the image, situated among a cluster of trees?",Yes,Yes,yes,True,Yes/No
345,"Has a new parking_lot been constructed in the northwestern quadrant of the image, adjacent to a newly built structure, where there was previously only open land?",Yes,Yes,yes,True,Yes/No
346,"Has a new residential building been constructed in the northeastern portion of the image, north of the primary east-west road, where there was previously an open field?",Yes,Yes,yes,True,Yes/No
347,"In the upper-left portion of the residential area shown in the second image, what change has occurred to the property compared to the first image?  **A)** A new residential building has been constructed. **B)** An existing building has been demolished and not replaced. **C)** The building has undergone a significant roof renovation. **D)** A large swimming pool has been installed in the backyard.",A,B,b,False,Multiple Choice
348,"Has the small, light-colored tree at the far left end of the row bordering the road in the upper-left quadrant been replaced by a larger, darker tree?",Yes,Yes,yes,True,Yes/No
349,"Has a new small building with a light-colored roof been constructed in the southwestern portion of the property, located west of the swimming pool area?",Yes,Yes,yes,True,Yes/No
350,"In the upper-middle section of the images, situated adjacent to the long diagonal road, what change has occurred at that location?  **A)** A building was demolished and the land was cleared. **B)** A new building was constructed on the previously empty lot. **C)** A building was renovated with a new, lighter-colored roof. **D)** A large addition was built onto an existing structure.",B,B,b,True,Multiple Choice
351,"Has a house been constructed on the vacant lot in the top-left quadrant, located as the second property from the street corner?",Yes,No,no,False,Yes/No
352,"In the upper right portion of the images, what change can be observed between the first and second time points?  **A)** A new house has been constructed on previously undeveloped land. **B)** An existing house was demolished to make way for a park. **C)** A large swimming pool was installed in a backyard. **D)** A dense patch of trees was cleared for a new road.",A,A,a,True,Multiple Choice
353,"In the upper-right quadrant of the image, has the narrow, light-colored trail been significantly widened and transformed into a broader, muddy path?",Yes,Yes,yes,True,Yes/No
354,"Has a larger, more distinct building been constructed in the eastern portion of the residential area, situated behind the primary row of houses?",Yes,Yes,yes,True,Yes/No
355,"What change is observed regarding the tree located in the southwest corner of the property, near the intersection of the roads?  **A)** It was harvested. **B)** It was demolished. **C)** It grew significantly larger. **D)** It was replaced by a small building.",B,B,b,True,Multiple Choice
356,What change occurred to the paved road in the lower section of the image?  **A)** A new paved road was constructed. **B)** An existing paved road was removed. **C)** The paved road was replaced with a gravel path. **D)** No changes were made to the paved road.,A,D,d,False,Multiple Choice
357,What happened to the tree located in the front yard of the house in the upper-left corner of the images?  **A)** It was replaced by a driveway. **B)** It was demolished. **C)** It was pruned significantly. **D)** It was relocated to the side of the house.,B,B,b,True,Multiple Choice
